ID;RespID;Comment;Codes
01:01;R1;;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Remote
Temporal Origins: Future"
01:02;R1;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
01:03;R1;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
01:04;R1;;"Benefit
Cultural ES: Recreation
ES Direction: Positive
ES Type: Culture ES"
01:05;R1;;"Benefit
ES Direction: Positive
ES Type: Regulate ES
Regulating ES: Climate Reg"
01:06;R1;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Soil Formation"
01:07;R1;;"Barrier
Barrier Type: Informational
Informational Barrier: Science
Spatial Origins: Remote
Temporal Origins: Legacy"
01:08;R1;Proximate, Future Barrier for accomodating SLR on the site?;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Proximate
Temporal Origins: Future"
01:09;R1;remote, contemporary barrier due to lack of available sediment in the system to supply the site?;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Remote
Temporal Origins: Contemporary"
01:10;R1;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
01:11;R1;;"Barrier
Barrier Type: Informational
Informational Barrier: Science
Spatial Origins: Remote
Temporal Origins: Contemporary"
01:12;R1;;"Benefit
Cultural ES: Research, Lessons
ES Direction: Positive
ES Type: Culture ES"
01:13;R1;Proximate future barrier from inability to logistically change the site after restoration is done?;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Proximate
Temporal Origins: Future"
01:14;R1;Contemporary, Proximate barrier of impacts to neighbors (built enviro)?;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Built Enviro
Spatial Origins: Proximate
Temporal Origins: Contemporary"
01:15;R1;;"Barrier
Physical/Environmental Barrier: Built Enviro
Spatial Origins: Proximate
Temporal Origins: Legacy"
01:16;R1;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Proximate
Temporal Origins: Contemporary"
01:17;R1;;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Built Enviro
Spatial Origins: Proximate
Temporal Origins: Legacy"
01:18;R1;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Proximate
Temporal Origins: Contemporary"
01:19;R1;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Proximate
Temporal Origins: Contemporary"
01:20;R1;;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Proximate
Temporal Origins: Legacy"
01:21;R1;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
01:22;R1;"Add to education, community participation benefit 'new scientific knowedge/lessons learned""?contemporary barrier of new science appearing later (versus legacy barrier of having outdated science or lack of science in design process)???";"Barrier
Barrier Type: Informational
Informational Barrier: Science
Spatial Origins: Remote
Temporal Origins: Contemporary"
01:23;R1;;"Benefit
Cultural ES: Research, Lessons
ES Direction: Positive
ES Type: Culture ES"
02:01;R2;;"Benefit
Cultural ES: Recreation
ES Direction: Positive
ES Type: Culture ES"
02:02;R2;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
02:03;R2;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:04;R2;remote, legacy from prior wetland delineation and needing to redo to get permits?;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Legacy"
02:05;R2;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:06;R2;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:07;R2;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
02:08;R2;;"Benefit
Cultural ES: Edu, Community
ES Direction: Positive
ES Type: Culture ES"
02:09;R2;;"Barrier
Barrier Type: Informational
Informational Barrier: Knowledge
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:10;R2;;"Benefit
Cultural ES: Recreation
ES Direction: Positive
ES Type: Culture ES"
02:11;R2;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:12;R2;;"Barrier
Barrier Type: Informational
Informational Barrier: Knowledge
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:13;R2;;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Proximate
Temporal Origins: Future"
02:14;R2;;"Benefit
ES Direction: Positive
ES Type: Regulate ES
Regulating ES: Climate Reg"
02:15;R2;;"Barrier
Barrier Type: Resource
Resources Barrier: Staff Resources
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:16;R2;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
02:17;R2;;"Benefit
Cultural ES: Recreation
ES Direction: Positive
ES Type: Culture ES"
02:18;R2;;"Barrier
Barrier Type: Resource
Resources Barrier: Funding
Spatial Origins: Remote
Temporal Origins: Future"
02:19;R2;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:20;R2;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:21;R2;;"Barrier
Barrier Type: Informational
Informational Barrier: Knowledge
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:22;R2;;"Barrier
Barrier Type: Cognitive
Cognitive Barrier: Motivation
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:23;R2;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:24;R2;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:25;R2;cognitive for motivation becuase internal project partners lose motivation from exhaustion of negotiation with other external and internal partners?;"Barrier
Barrier Type: Cognitive
Cognitive Barrier: Motivation
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:26;R2;;"Barrier
Barrier Type: Resource
Resources Barrier: Staff Resources
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:27;R2;;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Ecological
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:28;R2;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:29;R2;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
02:30;R2;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
02:31;R2;;"Barrier
Barrier Type: Resource
Resources Barrier: Funding
Spatial Origins: Remote
Temporal Origins: Future"
02:32;R2;;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Ecological
Spatial Origins: Proximate
Temporal Origins: Future"
02:33;R2;;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Proximate
Temporal Origins: Future"
02:34;R2;;"Barrier
Barrier Type: Cognitive
Cognitive Barrier: Urgency
Spatial Origins: Remote
Temporal Origins: Future"
02:35;R2;Proximate, Legacy of existing mineral rights on site land that requires design changes and infrastucture additions during the project?;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Built Enviro
Spatial Origins: Proximate
Temporal Origins: Legacy"
02:36;R2;Future, proximate about concerns about impacts to water quality in future from project and landscape change resulting from project in the immediate vicinity?;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Proximate
Temporal Origins: Future"
02:37;R2;Proximate contemporary ecological barrrier- don't want to facilitate mosquito growth to surrounding area during project?;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Ecological
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:38;R2;Proximate contemporary motivation cognitive barrier of convincing local government to be receptive to the project?;"Barrier
Barrier Type: Cognitive
Cognitive Barrier: Motivation
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:39;R2;proximate contemporary social barrier of ensuring relationships with partners is good, including their personal egos/credit on project?;"Barrier
Barrier Type: Social
Social Barrier: Internal Collaborators
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:40;R2;;"Barrier
Barrier Type: Resource
Resources Barrier: Staff Resources
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:41;R2;Proximate contemporary knowledge barrier of being able to have enough information to act in real time to project changes and having awareness to be flexible?;"Barrier
Barrier Type: Informational
Informational Barrier: Knowledge
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:42;R2;;"Barrier
Barrier Type: Phys/Enviro
Physical/Environmental Barrier: Physical Enviro
Spatial Origins: Proximate
Temporal Origins: Contemporary"
02:43;R2;;"Barrier
Physical/Environmental Barrier: Ecological
Spatial Origins: Proximate
Temporal Origins: Contemporary"
03:01;R3.1;;"Benefit
ES Direction: Positive
ES Type: Regulate ES
Regulating ES: Hazards"
03:02;R3.1;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
03:03;R3.1;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
03:04;R3.1;;"Benefit
ES Direction: Negative
Supporting ES: Biodiversity, Habitat"
03:05;R3.1;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Remote
Temporal Origins: Contemporary"
03:06;R3.1;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
03:07;R3.1;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
03:08;R3.1;;"Benefit
ES Direction: Positive
ES Type: Regulate ES
Regulating ES: Hazards"
03:09;R3.1;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
03:10;R3.1;;"Benefit
ES Direction: Positive
ES Type: Regulate ES
Regulating ES: Climate Reg"
03:13;R3.1;;"Benefit
ES Direction: Positive
ES Type: Regulate ES
Regulating ES: Hydro Regime"
03:14;R3.1;;"Benefit
Cultural ES: Recreation
ES Direction: Positive
ES Type: Culture ES"
03:15;R3.1;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Remote
Temporal Origins: Contemporary"
03:16;R3.1;;"Barrier
Barrier Type: Social
Social Barrier: External Stakeholders
Spatial Origins: Remote
Temporal Origins: Contemporary"
03:19;R3.1;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
03:20;R3.1;;"Benefit
Cultural ES: Edu, Community
ES Direction: Positive
ES Type: Culture ES"
03:21;R3.2;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
03:22;R3.2;;"Benefit
ES Direction: Positive
ES Type: Regulate ES
Regulating ES: Hazards"
03:23;R3.1;;"Benefit
ES Direction: Positive
ES Type: Regulate ES
Regulating ES: Climate Reg"
03:24;R3.2;;"Benefit
ES Direction: Negative
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
03:25;R3.2;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
03:26;R3.2;;"Barrier
Barrier Type: Social
Social Barrier: Internal Collaborators
Spatial Origins: Proximate
Temporal Origins: Contemporary"
03:27;R3.2;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
03:28;R3.1;;"Barrier
Barrier Type: Institutional
Insitutional Barrier: Regulatory
Spatial Origins: Remote
Temporal Origins: Contemporary"
03:29;R3.2;;"Benefit
ES Direction: Positive
ES Type: Support ES
Supporting ES: Biodiversity, Habitat"
03:30;R3.2;;"Benefit
Cultural ES: Equity
ES Direction: Positive
ES Type: Culture ES"
